iter	Passed	Remaining
0	0	75
1	1	65
2	1	60
3	2	55
4	2	53
5	3	54
6	4	53
7	4	52
8	5	51
9	5	50
10	6	50
11	6	49
12	7	50
13	8	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	15	39
29	16	38
30	17	37
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	26	26
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	37	15
71	38	14
72	38	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
